epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,148.324,1.16474,1.01142,1.04389,0.95575,0.90324,0.95509,0.63729,1.19046,0.84741,1.06179,0.000848969,0.000848969,0.000848969
43,150.853,1.14149,0.98949,1.03339,0.97708,0.87731,0.95407,0.6424,1.17175,0.83769,1.06816,0.000834822,0.000834822,0.000834822
44,153.333,1.08439,0.94283,1.00194,0.95593,0.88768,0.95572,0.58386,1.27136,0.90266,1.11001,0.000820675,0.000820675,0.000820675
45,155.786,1.13655,0.92947,1.04395,0.95303,0.88262,0.95249,0.5862,1.27923,0.93687,1.09617,0.000806528,0.000806528,0.000806528
46,158.377,1.09979,0.92826,1.00076,0.97007,0.8841,0.93524,0.61311,1.20933,0.95589,1.06853,0.00079238,0.00079238,0.00079238
47,162.218,1.06831,0.90232,0.97693,0.96586,0.89573,0.94459,0.6174,1.21229,0.90513,1.06563,0.000778233,0.000778233,0.000778233
48,164.794,1.0888,0.91445,1.00309,0.95541,0.9207,0.95955,0.62342,1.20246,0.79398,1.07198,0.000764086,0.000764086,0.000764086
49,167.271,1.05138,0.85616,1.00008,0.94876,0.91268,0.96197,0.63928,1.17611,0.75733,1.05475,0.000749939,0.000749939,0.000749939
50,169.781,1.09681,0.88464,0.98757,0.93973,0.92459,0.96314,0.62239,1.23342,0.75418,1.07117,0.000735792,0.000735792,0.000735792
51,172.695,1.04077,0.87196,0.98705,0.93068,0.91435,0.9609,0.61968,1.23046,0.76067,1.06534,0.000721645,0.000721645,0.000721645
52,176.071,1.08671,0.88504,1.00445,0.89413,0.94872,0.9553,0.63752,1.18598,0.76785,1.05326,0.000707498,0.000707498,0.000707498
53,178.497,1.04364,0.88305,0.97671,0.90457,0.9482,0.9585,0.64953,1.15798,0.74879,1.05113,0.000693351,0.000693351,0.000693351
54,180.974,1.04834,0.84106,0.99683,0.95093,0.93137,0.96342,0.65365,1.17221,0.73392,1.04833,0.000679204,0.000679204,0.000679204
55,183.499,1.04439,0.83797,0.98529,0.9718,0.92968,0.9637,0.64334,1.15917,0.72564,1.04563,0.000665057,0.000665057,0.000665057
56,186.571,1.03667,0.8548,1.00968,0.96405,0.9434,0.96143,0.63381,1.18139,0.7528,1.04447,0.000650909,0.000650909,0.000650909
57,189.76,1.01579,0.83934,0.9819,0.96788,0.93509,0.96311,0.63558,1.18246,0.73874,1.04401,0.000636762,0.000636762,0.000636762
58,192.269,1.09742,0.88303,0.97292,0.94678,0.93348,0.95808,0.62539,1.21229,0.75059,1.072,0.000622615,0.000622615,0.000622615
59,194.768,1.0573,0.84185,0.98648,0.94075,0.91165,0.95685,0.61395,1.26286,0.75431,1.08711,0.000608468,0.000608468,0.000608468
60,197.298,1.0384,0.81534,0.99338,0.94684,0.8671,0.95629,0.62268,1.20313,0.75601,1.07478,0.000594321,0.000594321,0.000594321
61,200.669,1.01113,0.80062,0.97488,0.94531,0.90796,0.96109,0.65059,1.1465,0.74478,1.05623,0.000580174,0.000580174,0.000580174
62,203.583,1.03326,0.78917,0.98601,0.92527,0.92544,0.96413,0.64059,1.18374,0.75552,1.07436,0.000566027,0.000566027,0.000566027
63,205.994,1.0047,0.80731,0.99585,0.95513,0.91653,0.96379,0.62635,1.2174,0.75314,1.0903,0.00055188,0.00055188,0.00055188
64,208.456,1.00483,0.78276,0.97646,0.96365,0.89172,0.9644,0.62721,1.20963,0.73725,1.06766,0.000537733,0.000537733,0.000537733
65,210.865,1.00457,0.79697,0.97438,0.93569,0.92956,0.96392,0.63711,1.17978,0.73393,1.05313,0.000523586,0.000523586,0.000523586
66,214.603,1.05036,0.81539,0.96113,0.92685,0.93559,0.96401,0.65209,1.14789,0.71661,1.0468,0.000509438,0.000509438,0.000509438
67,217.129,1.01606,0.78342,0.95732,0.92068,0.93016,0.96037,0.63943,1.14289,0.71168,1.0479,0.000495291,0.000495291,0.000495291
68,219.579,1.01186,0.77565,0.95815,0.9511,0.91188,0.95443,0.62116,1.16377,0.73042,1.05819,0.000481144,0.000481144,0.000481144
69,222.155,0.99894,0.76371,0.9668,0.94175,0.92772,0.95416,0.61433,1.19306,0.72898,1.0723,0.000466997,0.000466997,0.000466997
70,224.709,0.99896,0.78455,0.97796,0.92837,0.94386,0.95486,0.63722,1.16215,0.70068,1.05928,0.00045285,0.00045285,0.00045285
71,228.345,0.97219,0.74613,0.97063,0.96473,0.93161,0.95607,0.64687,1.14029,0.67788,1.04149,0.000438703,0.000438703,0.000438703
72,230.877,1.04172,0.74418,0.97862,0.98119,0.9359,0.96148,0.63649,1.14056,0.69493,1.04195,0.000424556,0.000424556,0.000424556
73,233.393,1.00398,0.75742,0.95331,0.97489,0.9359,0.96062,0.62789,1.17165,0.72177,1.04727,0.000410409,0.000410409,0.000410409
74,235.895,0.97661,0.73323,0.97383,0.9724,0.93227,0.96035,0.62546,1.18158,0.73572,1.05365,0.000396262,0.000396262,0.000396262
75,238.515,1.02531,0.75242,0.96379,0.97564,0.93316,0.96104,0.64169,1.14949,0.72318,1.04832,0.000382115,0.000382115,0.000382115
76,241.979,0.98488,0.73681,0.94507,0.97868,0.93273,0.96223,0.64932,1.13912,0.70199,1.04063,0.000367967,0.000367967,0.000367967
77,244.514,0.97173,0.75163,0.94713,0.9776,0.92971,0.96159,0.65139,1.14462,0.68983,1.04203,0.00035382,0.00035382,0.00035382
78,246.968,0.95736,0.70081,0.947,0.97912,0.92643,0.95982,0.62961,1.16349,0.68902,1.05043,0.000339673,0.000339673,0.000339673
79,249.398,0.95088,0.72158,0.94237,0.97871,0.92953,0.96029,0.61999,1.18904,0.70348,1.0607,0.000325526,0.000325526,0.000325526
80,252.453,0.96571,0.7114,0.9598,0.98186,0.92308,0.9624,0.62929,1.17708,0.71026,1.05893,0.000311379,0.000311379,0.000311379
